CJ,Name,Formula,RT,Detected.in,confirmation,HMDB ID
CJ1207,"1-adamantyl(1,4-thiazinan-4-yl)methanone isomer",C15H23NOS,,,,
CJ1208,D-1-Amino-2-pyrrolidinecarboxylic acid,C5H10N2O2,,,,HMDB0030405
CJ1209,1-Butanethiol,C4H10S,,,,HMDB0031322
CJ1210,1-dodecanesulfonic acid isomer,C12H26O3S,,,,
CJ1211,1-Hydroxyepiacorone,C15H24O3,,,,HMDB0030918
CJ1212,1-Isomangostin hydrate,C24H28O7,,,,HMDB0029984
CJ1213,1-Isothiocyanato-8-(methylthio)octane,C10H19NS2,,,,HMDB0038447
CJ1214,1-Methoxyphaseollidin,C21H22O5,,,,HMDB0029319
CJ1215,1-Octen-3-yl glucoside,C14H26O6,,,,HMDB0032959
CJ1216,1-tetradecanesulfonic acid isomer,C14H30O3S,,,,
CJ1217,1-tetradecylamine isomer,C14H31N,,,,
CJ1218,"2-(2,5-dihydroxy-4-methoxyphenyl)-3,5,6,7-tetrahydroxy-3,4-dihydro-2h-1-benzopyran-4-one isomer",C16H14O9,,,,
CJ1219,"2-(2-hydroxyphenyl)-6-(methylthio)-4-oxo-3,4-dihydro-2h-1,3-thiazine-5-carbonitrile isomer",C12H10N2O2S2,,,,
CJ1220,"2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2h-1-benzopyran-3,4,5,7-tetrol isomer",C15H14O8,,,,
CJ1221,"2-(3,4-dimethoxyphenyl)-5,6,8-trihydroxy-3,7-dimethoxy-4h-chromen-4-one isomer",C19H18O9,,,,
CJ1222,2-(3-Carboxy-3-aminopropyl)-L-histidine,C10H16N4O4,,,,HMDB0011655
CJ1223,"2,2,4,4-Tetramethyl-6-(1-oxobutyl)-1,3,5-cyclohexanetrione",C14H20O4,,,,HMDB0033197
CJ1224,"2,2-dichloro-n-(2,6-diethylphenyl)acetamide isomer",C12H15Cl2NO,,,,
CJ1225,"2,2-dithiodipyridine isomer",C10H8N2S2,,,,
CJ1226,"2,3,6,7-Tetrahydro-7-methylcyclopent[b]azepin-8(1H)-one",C10H13NO,,,,HMDB0039661
CJ1227,"2,4-bis(3-methylbut-2-en-1-yl)benzene-1,3,5-triol isomer",C16H22O3,,,,
CJ1228,"2,4-Diamino-6-hydroxypyrimidine",C4H6N4O,,,,HMDB0002128
CJ1229,"2',4-Dihydroxy-4',6'-dimethoxy-3'-prenylchalcone",C22H24O5,,,,HMDB0038815
CJ1230,"2,4-dinitrophenylhydrazine  isomer",C6H6N4O4,,,,
CJ1231,"2-[4-(1-adamantyl)-1,3-thiazol-2-yl]pyrazine isomer",C17H19N3S,,,,
CJ1232,2-[4-(4-chlorophenyl)-4-hydroxypiperidino]-n-(2-morpholinophenyl)isonicotinamide isomer,C27H29ClN4O3,,,,
CJ1233,"2-{[3,5-di(trifluoromethyl)anilino]methylidene}-5-phenylcyclohexane-1,3-dione isomer",C21H15F6NO2,,,,
CJ1234,"2-{2-[4-(tert-butyl)phenyl]-4-hydroxy-1,3-thiazol-5-yl}acetic acid isomer",C15H17NO3S,,,,
CJ1235,20-HETE ethanolamide,C22H37NO3,,,,HMDB0013630
CJ1236,L-Aspartic acid,C4H5NO4,,,,HMDB0000191
CJ1237,2-chloro-n-(2-chlorophenyl)-n'-hydroxybenzenecarboximidamide isomer,C13H10Cl2N2O,,,,
CJ1238,2-cyano-3-(4-pyridyl)acrylamide isomer,C9H7N3O,,,,
CJ1239,2-Furoylglycine,C7H7NO4,,,,HMDB0000439
CJ1240,2-Hexenoylcarnitine,C13H23NO4,,,,HMDB0013161
CJ1241,2-Hydroxydecanedioic acid,C10H18O5,,,,HMDB0000424
CJ1242,2-hydroxyflutamide,C11H11F3N2O4,,,,HMDB0060949
CJ1243,2-Hydroxylauroylcarnitine,C19H37NO5,,,,HMDB0013164
CJ1244,2-hydroxymexiletine,C11H17NO2,,,,HMDB0060953
CJ1245,2-Keto-6-acetamidocaproate,C8H13NO4,,,,HMDB0012150
CJ1246,2-Methoxyacetaminophen sulfate,C9H11NO6S,,,,HMDB0062550
CJ1247,2-Methoxyestrone 3-glucuronide,C24H32O8,,,,HMDB0004482
CJ1248,2-morpholinophenyl 2-thiophenecarboxylate isomer,C15H15NO3S,,,,
CJ1249,2-myristoleoyl-glycerol  isomer,C17H32O4,,,,
CJ1250,2-Octenoic acid,C8H14O2,,,,HMDB0000392
CJ1251,2-octenoylglycine  isomer,C10H17NO3,,,,
CJ1252,2-o-ethyl ascorbic acid  isomer,C8H12O6,,,,
CJ1253,2-O-Methylascorbic acid,C7H10O6,,,,HMDB0240294
CJ1254,2-oxophytanate isomer,C20H38O3,,,,
CJ1255,6-Oxopiperidine-2-carboxylic acid,C6H11N3O2,,,,HMDB0061705
CJ1256,2-Phenylethanol glucuronide,C14H18O7,,,,HMDB0010350
CJ1257,2-pyridyl hydroxymethane sulfonic acid isomer,C6H7NO4S,,,,
CJ1258,"3-(2-propynylsulfanyl)-5-[4-(trifluoromethyl)phenyl]-4h-1,2,4-triazole isomer",C12H8F3N3S,,,,
CJ1259,3-(2-thienylmethyl)-2-thioxotetrahydro-4h-imidazol-4-one isomer,C8H8N2OS2,,,,
CJ1260,"3-(4,5-diphenyl-1h-imidazol-2-yl)pyridine isomer",C20H15N3,,,,
CJ1261,3-(4-chloroanilino)-2-(isopropylsulfonyl)acrylonitrile isomer,C12H13ClN2O2S,,,,
CJ1262,3-(4-fluorophenyl)-5-(methylthio)-1h-pyrazole isomer,C10H9FN2S,,,,
CJ1263,3-(cyclopropylmethyl)-2-mercaptoquinazolin-4(3h)-one isomer,C12H12N2OS,,,,
CJ1264,3-(dimethylamino)-n'-hydroxy-5-(trifluoromethyl)pyridine-2-carboximidamide isomer,C9H11F3N4O,,,,
CJ1265,"3',4',5'-Trimethoxycinnamyl alcohol acetate",C14H18O5,,,,HMDB0040891
CJ1266,"3,4,5-Trimethoxyphenyl acetate",C11H14O5,,,,HMDB0031722
CJ1267,"3-[5-(5,6-dihydrobenzimidazo[1,2-c]quinazolin-6-yl)-2-furyl]benzenesulfonamide isomer",C24H18N4O3S,,,,
CJ1268,"3-{[(4-amino-1,3,5-triazin-2-yl)thio]methyl}benzonitrile isomer",C11H9N5S,,,,
CJ1269,3-acetylacetanilide  isomer,C10H11NO2,,,,
CJ1270,3-Amino-2-piperidone,C5H10N2O,,,,HMDB0000323
CJ1271,"3-amino-4-(propylamino)cyclobut-3-ene-1,2-dione isomer",C7H10N2O2,,,,
CJ1272,3-dehydro-2-deoxyecdysone isomer,C27H42O5,,,,
CJ1273,3-Oxocholic acid,C24H38O5,,,,HMDB0000502
CJ1274,"3-ethyl 5-methyl 2-[(2-methoxy-2-oxoethyl)thio]-6-methylpyridine-3,5-dicarboxylate isomer",C14H17NO6S,,,,
CJ1275,3-Hydroxybutyric acid,C4H8O3,,,,HMDB0000011
CJ1276,3-Hydroxyhexadecanoylcarnitine,C23H45NO5,,,,HMDB0013336
CJ1277,3-Hydroxymelatonin,C13H18N2O3,,,,HMDB0060742
CJ1278,3-hydroxyoctadecanoylcarnitine isomer,C25H49NO5,,,,
CJ1279,3-hydroxyoleoylcarnitine isomer,C25H47NO5,,,,
CJ1280,3-hydroxypalmitoleoylcarnitine isomer,C23H43NO5,,,,
CJ1281,3-hydroxypentadecanoic acid,C15H30O3,,,,HMDB0061657
CJ1282,3-hydroxytetradecanoylcarnitine isomer,C21H41NO5,,,,
CJ1283,3-Indoleacetonitrile,C10H8N2,,,,HMDB0006524
CJ1284,3-keto Fusidic acid,C31H46O7,,,,HMDB0060745
CJ1285,3-Methoxybenzenepropanoic acid,C10H12O3,,,,HMDB0011751
CJ1286,3-methyl-3-propyloxirane-2-carbonitrile  isomer,C7H11NO,,,,
CJ1287,3-methyl-4-nitrobenzene-1-carbohydrazide isomer,C8H9N3O3,,,,
CJ1288,3-Methylbutyl glucosinolate,C12H23NO9S2,,,,HMDB0038412
CJ1289,3-methylglutarylcarnitine  1 isomer,C13H23NO6,,,,
CJ1290,3-Methyluric acid,C6H6N4O3,,,,HMDB0001970
CJ1291,3-nitrosalicylic acid isomer,C7H5NO5,,,,
CJ1292,3-O-Methylglycyrol,C22H20O6,,,,HMDB0033883
CJ1293,3-O-p-Coumaroylquinic acid,C16H18O8,,,,HMDB0029681
CJ1294,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,,,,HMDB0000978
