CJ,Name,Formula,RT,Detected.in,confirmation,HMDB ID
CJ1435,corey pg-lactone diol  isomer,C15H24O4,,,,
CJ1436,corosolic acid  isomer,C30H48O4,,,,
CJ1437,Cortisol 21-sulfate,C21H30O8S,,,,HMDB0062779
CJ1438,coscinalactone  isomer,C25H36O3,,,,
CJ1439,CPA(18:0/0:0),C21H41O6P,,,,HMDB0007004
CJ1440,Creatine riboside,C9H17N3O6,,,,HMDB0240254
CJ1441,cresol sulfate isomer,C7H8O4S,,,,
CJ1442,Cucurbic acid,C12H20O3,,,,HMDB0029388
CJ1443,Cuminaldehyde,C10H12O,,,,HMDB0002214
CJ1444,Cyclocalopin F,C15H18O6,,,,HMDB0039825
CJ1445,Cyclodopa glucoside,C15H19NO9,,,,HMDB0029833
CJ1446,Cyclovariegatin,C18H10O8,,,,HMDB0029682
CJ1447,Cystathionine ketimine,C7H9NO4S,,,,HMDB0002015
CJ1448,cysteine-glutathione disulphide isomer,C13H22N4O8S2,,,,
CJ1449,dCTP,C9H16N3O13P3,,,,HMDB0000998
CJ1450,decenoyl-coa isomer,C31H52N7O17P3S,,,,
CJ1451,decyloxybenzene-sulfonic acid isomer,C16H26O4S,,,,
CJ1452,decylubiquinone  isomer,C19H30O4,,,,
CJ1453,Dedimethylchlorpromazine,C15H15ClN2S,,,,HMDB0061134
CJ1454,dehydrocarnitine,C7H13NO3,13.724,,,
CJ1455,dehydrocholate isomer,C24H34O5,,,,
CJ1456,dehydrogeissoschizine  isomer,C19H21N5O2,,,,
CJ1457,dehydroglutathione isomer,C10H15N3O6S,,,,
CJ1458,Vitamin A2 aldehyde,C20H26O,,,,HMDB0035695
CJ1459,demeton-s-methyl sulfone isomer,C6H15O5PS2,,,,
CJ1460,Deoxynivalenol,C15H20O6,,,,HMDB0036156
CJ1461,Deoxyribose 5-phosphate,C5H11O7P,,,,HMDB0001031
CJ1462,deoxy-thioinosine monophosphate isomer,C10H13N4O7PS,,,,
CJ1463,Dephospho-CoA,C21H35N7O13P2S,,,,HMDB0001373
CJ1464,d-glucoside isomer,C7H14O6,,,,
CJ1465,D-Glucuronic acid 1-phosphate,C6H11O10P,,,,HMDB0003976
CJ1466,D-glycero-L-galacto-Octulose,C8H16O8,,,,HMDB0029954
CJ1467,dibenzothiopyran  isomer,C13H10S,,,,
CJ1468,Dicaffeoylputrescine,C22H24N2O6,,,,HMDB0033467
CJ1469,Diethyl tartrate,C8H14O6,,,,HMDB0033584
CJ1470,diethylcarbamazine n-oxide  isomer,C10H21N3O2,,,,
CJ1471,Diethylthiophosphate,C4H11O3PS,,,,HMDB0001460
CJ1472,digalacturonate isomer,C12H18O13,,,,
CJ1473,dihete  isomer,C20H32O4,,,,
CJ1474,dihydro prostaglandin f1 isomer,C20H38O5,,,,
CJ1475,Dihydroactinidiolide,C11H16O2,,,,HMDB0035240
CJ1476,Dihydrocarvone,C10H16O,,,,HMDB0036079
CJ1477,Dihydroceramide,C20H41NO3,,,,HMDB0006752
CJ1478,Dihydroergotamine,C33H37N5O5,,,,HMDB0014465
CJ1479,dihydromorelloflavone  isomer,C30H22O11,,,,
CJ1480,Dihydronaringenin-O-sulphate,C15H14O8S,,,,HMDB0059996
CJ1481,Dihydronepetalactone,C10H16O2,,,,HMDB0035829
CJ1482,dihydroxycholesterol isomer,C27H46O3,,,,
CJ1483,dihydroxyeicosanoic acid  isomer,C20H40O4,,,,
CJ1484,dihydroxyphenylglycol sulfate isomer,C8H10O7S,,,,
CJ1485,"1,25-Dihydroxyvitamin D3-26,23-lactone",C27H40O5,,,,HMDB0000969
CJ1486,diketo-metribuzin isomer,C7H12N4O2,,,,
CJ1487,dimethoxy-sulphobenzoic acid isomer,C9H10O7S,,,,
CJ1488,dimethyl phosphate isomer,C2H6O4S,,,,
CJ1489,"N,N-Dimethylformamide",C3H7NO,,,,HMDB0001888
CJ1490,dimethylnonanoyl carnitine isomer,C18H35NO4,,,,
CJ1491,dIMP,C10H13N4O7P,,,,HMDB0006555
CJ1492,di-n-pentyl phthalate  isomer,C18H26O4,,,,
CJ1493,dioctyl phosphate isomer,C22H50NO7P,,,,
CJ1494,"4,7-Dioxoheptanoic acid",C7H10O4,,,,HMDB0246616
CJ1495,Dityrosine,C18H20N2O6,,,,HMDB0006045
CJ1496,DL-Lanthionine,C6H12N2O4S,,,,HMDB0251521
CJ1497,Docosanamide,C22H45NO,,,,HMDB0000583
CJ1498,(2E)-Dodecenoyl-CoA,C33H56N7O17P3S,,,,HMDB0003712
CJ1499,Dolichyl diphosphate,C12H26O7P2,,,,HMDB0001513
CJ1500,Donepezil metabolite M4,C17H23NO3,,,,HMDB0013960
CJ1501,Doxazosin,C23H25N5O5,,,,HMDB0014728
CJ1502,Doxycycline,C22H24N2O8,,,,HMDB0014399
CJ1503,D-Pantethine,C22H42N4O8S2,,,,HMDB0003828
CJ1504,Dracunculin,C11H8O5,,,,HMDB0030789
CJ1505,dTDP,C10H16N2O11P2,,,,HMDB0001274
CJ1506,Thymidine 5'-triphosphate,C10H17N2O14P3,,,,HMDB0001342
CJ1507,Encelin,C15H16O3,,,,HMDB0034723
CJ1508,endoxifen o-glucuronide isomer,C31H37NO8,,,,
CJ1509,Enilconazole,C14H14Cl2N2O,,,,HMDB0031794
CJ1510,Enterodiol,C18H22O4,,,,HMDB0005056
CJ1511,Ephedrine,C10H15NO,,,,HMDB0015451
CJ1512,Equol 7-O-glucuronide,C21H22O9,,,,HMDB0041732
CJ1513,Equol,C15H14O3,,,,HMDB0002209
CJ1514,equol sulfate isomer,C15H14O6S,,,,
CJ1515,Eremopetasinorol,C13H20O2,,,,HMDB0029668
CJ1516,Erinacine B,C25H36O6,,,,HMDB0040390
CJ1517,esculentic acid  isomer,C30H46O6,,,,
CJ1518,Estrone sulfate,C18H22O5S,,,,HMDB0001425
CJ1519,ethyl 2-(methylthio)-4-{[(5-nitro-2-furyl)carbonyl]amino}-1-(2-thienylmethyl)-1h-imidazole-5-carboxylate isomer,C17H16N4O6S2,,,,
CJ1520,ethyl 2-[2-(2-thienylcarbonyl)hydrazino]-4-(trifluoromethyl)pyrimidine-5-carboxylate isomer,C13H11F3N4O3S,,,,
CJ1521,"ethyl 2-[5-(4-chlorophenyl)-1,3,4-oxadiazol-2-yl]acetate isomer",C12H11ClN2O3,,,,
CJ1522,"ethyl 2-amino-8h-indeno[2,1-b]thiophene-3-carboxylate isomer",C14H13NO2S,,,,
CJ1523,ethyl 2-cyano-3-[(2-oxoazepan-3-yl)amino]acrylate isomer,C12H17N3O3,,,,
CJ1524,Ethyl glucuronide,C8H14O7,,,,HMDB0010325
CJ1525,ethyl serine  isomer,C5H11NO3,,,,
CJ1526,ethylmethylmaleimide  isomer,C7H9NO2,,,,
CJ1527,etiprednol  isomer,C22H30O5,,,,
CJ1528,FAPy-adenine,C5H7N5O,,,,HMDB0004816
CJ1529,Fasciculol C,C30H52O6,,,,HMDB0035853
CJ1530,Ferulic acid 4-O-sulfate,C10H10O7S,,,,HMDB0029200
CJ1531,Flavidulol C,C34H42O4,,,,HMDB0039150
CJ1532,Floribundoside,C21H22O10,,,,HMDB0033739
CJ1533,Flumequine,C14H12FNO3,,,,HMDB0041895
CJ1534,Flurandrenolide,C24H33FO6,,,,HMDB0014984
CJ1535,Flavin mononucleotide,C17H21N4O9P,,,,HMDB0001520
CJ1536,Foeniculoside VIII,C16H28O8,,,,HMDB0033009
CJ1537,Folinic acid,C20H23N7O7,,,,HMDB0001562
CJ1538,fructosyl-glycine isomer,C8H15NO7,,,,
CJ1539,4-Fumarylacetoacetic acid,C8H8O6,,,,HMDB0001268
CJ1540,furandicarboxylic acid isomer,C6H4O5,,,,
CJ1541,Furazolidone,C8H7N3O5,,,,HMDB0014752
CJ1542,"Galactose-beta-1,4-xylose",C11H20O10,,,,HMDB0011677
CJ1543,Galactosylhydroxylysine,C12H24N2O8,,,,HMDB0000600
CJ1544,Gamma glutamyl ornithine,C10H19N3O5,,,,HMDB0002248
CJ1545,4-Trimethylammoniobutanoic acid,C7H15NO2,,,,HMDB0001161
CJ1546,gamma-Glutamyltyrosine,C14H18N2O6,,,,HMDB0011741
CJ1547,ganoderic acid  isomer,C30H44O6,,,,
CJ1548,Ganolucidic acid B,C30H46O6,,,,HMDB0035751
CJ1549,gelcohol isomer,C16H26O4,,,,
CJ1550,gentianadine  isomer,C8H7NO2,,,,
CJ1551,gentianaine  isomer,C6H7NO3,,,,
CJ1552,Geranyl acetoacetate,C14H22O3,,,,HMDB0038256
CJ1553,Gerberinol,C21H16O6,,,,HMDB0033304
CJ1554,Glabric acid,C30H46O5,,,,HMDB0034689
CJ1555,glaucasterol  isomer,C27H42O,,,,
CJ1556,N2-gamma-Glutamylglutamine,C10H17N3O6,,,,HMDB0011738
CJ1557,glu gly  isomer,C7H12N2O5,,,,
CJ1558,glucosamine 1-phosphate isomer,C6H14NO8P,,,,
CJ1559,gly his isomer,C8H12N4O3,,,,
CJ1560,Glycerophosphocholine,C8H20NO6P,,,,HMDB0000086
CJ1561,Glycerylphosphorylethanolamine,C5H14NO6P,,,,HMDB0000114
CJ1562,Glycodiazine,C13H15N3O4S,,,,HMDB0015461
CJ1563,Glycyl-Lysine,C8H17N3O3,,,,HMDB0028846
CJ1564,Glycyl-Phenylalanine,C11H14N2O3,,,,HMDB0028848
CJ1565,glycyl-proline isomer,C7H12N2O3,,,,
CJ1566,Glycylprolylhydroxyproline,C12H19N3O5,,,,HMDB0002171
CJ1567,Glycyltyrosine,C11H14N2O4,,,,HMDB0028853
CJ1568,gly-pro-gly  isomer,C9H15N3O4,,,,
CJ1569,Gonyautoxin I,C10H17N7O9S,,,,HMDB0033506
CJ1570,O-methoxycatechol-O-sulphate,C7H8O5S,,,,HMDB0060013
CJ1571,hecogenin acetate isomer,C29H44O5,,,,
CJ1572,helenalin isomer,C15H18O4,,,,
CJ1573,heliohoustine  isomer,C14H23NO4,,,,
CJ1574,Heptanoylcarnitine,C14H27NO4,,,,HMDB0013238
CJ1575,Heptyl 4-hydroxybenzoate,C14H20O3,,,,HMDB0034462
CJ1576,hesperetin 3'-O-sulfate,C16H14O9S,,,,HMDB0029202
CJ1577,heterophylol isomer,C26H32O4,,,,
CJ1578,hexadecanedioic acid carnitine ester isomer,C23H43NO6,,,,
CJ1579,Hexanoyl-CoA,C27H46N7O17P3S,,,,HMDB0002845
CJ1580,Glutaminylhistidine,C11H17N5O4,,,,HMDB0028799
CJ1581,Homo-L-arginine,C7H16N4O2,,,,HMDB0000670
CJ1582,homobaldrinal  isomer,C15H16O4,,,,
CJ1583,Homocitrulline,C7H15N3O3,,,,HMDB0000679
CJ1584,L-Homocysteic acid,C4H9NO5S,,,,HMDB0002205
CJ1585,(S)-Homostachydrine,C8H15NO2,,,,HMDB0033433
CJ1586,Hyaluronic acid,C28H44N2O23,,,,HMDB0010366
CJ1587,Hydantoin-5-propionic acid,C6H8N2O4,,,,HMDB0001212
CJ1588,hydroxyaspergillic acid isomer,C12H20N2O3,,,,
CJ1589,4-Hydroxycyclohexylcarboxylic acid,C7H12O3,,,,HMDB0001988
CJ1590,trans-4-Hydroxycyclohexylacetic acid,C8H14O3,,,,HMDB0000909
CJ1591,Hydroxygaleon,C20H22O5,,,,HMDB0031535
CJ1592,3-Hydroxyhexanoylcarnitine,C13H25NO5,,,,HMDB0013131
CJ1593,hydroxymandelic acid isomer,C8H8O4,,,,
CJ1594,hydroxymethylphosphonate isomer,CH5O4P,,,,
CJ1595,hydroxynonenoic acid  isomer,C9H16O3,,,,
CJ1596,hydroxy-nonylbenzene-sulfonic acid isomer,C15H24O4S,,,,
CJ1597,Hydroxyprolyl-Valine,C10H18N2O4,,,,HMDB0028876
CJ1598,hydroxytetradecadienoyl-carnitine isomer,C21H37NO5,,,,
CJ1599,hymexazol n-glucoside  isomer,C10H15NO7,,,,
CJ1600,idebenone  isomer,C19H30O5,,,,
CJ1601,ile cys  isomer,C9H18N2O3S,,,,
CJ1602,Imidazolepropionic acid,C6H8N2O2,,,,HMDB0002271
CJ1603,Imidazoleacetic acid ribotide,C10H15N2O9P,,,,HMDB0006032
CJ1604,indole-3-acetaldoxime n-oxide isomer,C10H10N2O2,,,,
CJ1605,indole-3-carboxilic acid-sulphate isomer,C9H7NO5S,,,,
CJ1606,Indole-3-propionic acid,C11H11NO2,,,,HMDB0002302
CJ1607,indole-quinone isomer,C8H5NO2,,,,
CJ1608,Indoxyl glucuronide,C14H15NO7,,,,HMDB0010319
CJ1609,Inositol cyclic phosphate,C6H11O8P,,,,HMDB0001125
CJ1610,Isoalantolactone,C15H20O2,,,,HMDB0035934
CJ1611,Isobutyryl-CoA,C25H42N7O17P3S,,,,HMDB0001243
CJ1612,Isobutyrylglycine,C6H11NO3,,,,HMDB0000730
CJ1613,isocaucalol  isomer,C15H26O3,,,,
CJ1614,Isoelemicin,C12H16O3,,,,HMDB0029867
CJ1615,Isoleucyl-Tyrosine,C15H22N2O4,,,,HMDB0028919
CJ1616,Isoliquiritigenin,C15H12O4,,,,HMDB0037316
CJ1617,Isoniazid alpha-ketoglutaric acid,C11H11N3O5,,,,HMDB0060663
CJ1618,isopropyl citrate isomer,C10H18O7,,,,HMDB0032353
CJ1619,Isosorbide Mononitrate,C6H9NO6,,,,HMDB0015155
CJ1620,isovaleroylglycine isomer,C7H13NO3,,,,
CJ1621,Isradipine,C19H21N3O5,,,,HMDB0014415
CJ1622,Janthitrem E,C37H49NO6,,,,HMDB0030529
CJ1623,Juglone glucoside,C16H16O8,,,,HMDB0033563
CJ1624,juvenile hormone iii acid diol  isomer,C15H26O4,,,,
CJ1625,kammogenin  isomer,C27H40O5,,,,
CJ1626,kessyl glycol  isomer,C15H26O3,,,,
CJ1627,Ketorolac,C15H13NO3,,,,HMDB0014608
CJ1628,kikkanol f  isomer,C15H26O3,,,,
CJ1629,Kynuramine,C9H12N2O,,,,HMDB0012246
CJ1630,L-Acetopine,C8H16N4O4,,,,HMDB0039111
CJ1631,Lactapiperanol C,C16H26O4,,,,HMDB0033630
CJ1632,lariciresinol isomer,C20H24O6,,,,
CJ1633,l-aspartyl-phe isomer,C13H16N2O5,,,,
CJ1634,L-beta-aspartyl-L-glutamic acid,C9H14N2O7,,,,HMDB0011164
CJ1635,leu asp  isomer,C10H18N2O5,,,,
CJ1636,leu leu isomer,C12H24N2O3,,,,
CJ1637,leu ser  isomer,C9H18N2O4,,,,
CJ1638,Threonylleucine,C10H20N2O4,,,,HMDB0029065
CJ1639,leu val isomer,C11H22N2O3,,,,
CJ1640,Leucyl-Alanine,C9H18N2O3,,,,HMDB0304783
CJ1641,Levetiracetam,C8H14N2O2,,,,HMDB0015333
CJ1642,Limocitrol,C18H16O9,,,,HMDB0037691
CJ1643,linolenoyl ethanolamide isomer,C20H35NO2,,,,
CJ1644,(R)-Lipoic acid,C8H14O2S2,,,,HMDB0001451
CJ1645,L-Menthyl acetoacetate,C14H24O3,,,,HMDB0032369
CJ1646,Lomefloxacin,C17H19F2N3O3,,,,HMDB0015113
CJ1647,luguine  isomer,C19H13NO5,,,,
CJ1648,lys leu isomer,C12H25N3O3,,,,
CJ1649,Lysyltyrosine,C15H23N3O4,,,,HMDB0028963
CJ1650,Macrocarpal C,C28H38O5,,,,HMDB0038705
CJ1651,maesol  isomer,C28H42O4,,,,
CJ1652,magellanine  isomer,C17H25NO2,,,,
CJ1653,Malonyl-CoA,C24H38N7O19P3S,,,,HMDB0001175
CJ1654,Maltopentaose,C30H52O26,,,,HMDB0012254
CJ1655,Malyl-CoA,C25H40N7O20P3S,,,,HMDB0001021
CJ1656,Mammea E/BB,C24H30O7,,,,HMDB0030814
CJ1657,Mecarbam,C10H20NO5PS2,,,,HMDB0031800
CJ1658,melibiouronic acid isomer,C12H20O12,,,,
CJ1659,Melleolide E,C23H30O7,,,,HMDB0038785
CJ1660,Menadione,C11H8O2,,,,HMDB0001892
CJ1661,Meprobamate,C9H18N2O4,,,,HMDB0014515
CJ1662,mescaline  isomer,C11H17NO3,,,,
CJ1663,Betulin,C29H48O3,,,,HMDB0036838
CJ1664,(å±)-Metalaxyl,C15H21NO4,,,,HMDB0031802
CJ1665,Methacholine,C8H17NO2,14.64,Posi,,HMDB0015654
CJ1666,Methacrylyl-CoA,C25H40N7O17P3S,,,,HMDB0001011
CJ1667,Metharbital,C9H14N2O3,,,,HMDB0014606
CJ1668,Methionyl-Glycine,C7H14N2O3S,,,,HMDB0028973
CJ1669,methyl 2-acetyl-3-oxodecanoate  isomer,C13H22O4,,,,
CJ1670,"methyl 5-(4-fluorophenyl)-3-methylthieno[3,2-b]thiophene-2-carboxylate isomer",C15H11FO2S2,,,,
CJ1671,methyl equol sulfate isomer,C16H16O6S,,,,
CJ1672,methyl farnesoate  isomer,C16H26O2,,,,
CJ1673,methyl pantothenate  isomer,C10H19NO5,,,,
CJ1674,N-Methylethanolaminium phosphate,C3H10NO4P,,,,HMDB0060173
CJ1675,methyladenosine monophosphate isomer,C11H15N5O7P,,,,
CJ1676,Methylcysteine,C4H9NO2S,,,,HMDB0002108
CJ1677,Methylgingerol,C18H28O4,,,,HMDB0029852
CJ1678,1-Methylguanosine,C11H16N5O5,,,,HMDB0001563
CJ1679,Sulcatone,C8H14O,,,,HMDB0035915
CJ1680,Methylimidazole acetaldehyde,C6H8N2O,,,,HMDB0004181
CJ1681,methylindole isomer,C9H9N,,,,
CJ1682,Methylmalonyl-CoA,C25H40N7O19P3S,,,,HMDB0001269
CJ1683,methyl-pyridone-carboxamide isomer,C7H8N2O2,,,,
CJ1684,methylsynephrine  isomer,C10H15NO2,,,,
CJ1685,Methyprylon,C10H17NO2,,,,HMDB0015239
CJ1686,mg(22:4) isomer,C25H42O4,,,,
CJ1687,Midodrine,C12H18N2O4,,,,HMDB0014356
CJ1688,minabeolide-8 isomer,C29H42O5,,,,
CJ1689,Modafinil,C15H15NO2S,,,,HMDB0014883
CJ1690,Mollicellin A,C21H18O7,,,,HMDB0033339
CJ1691,Momordicilin,C36H60O3,,,,HMDB0030896
CJ1692,Mono-trans-p-coumaroylmesotartaric acid,C14H14O8,,,,HMDB0029783
CJ1693,Montecristin,C37H66O4,,,,HMDB0029795
CJ1694,Monuron,C9H11ClN2O,,,,HMDB0254876
CJ1695,Morphine 3-Sulfate,C17H19NO6S,,,,HMDB0254891
CJ1696,Muramic acid,C9H17NO7,,,,HMDB0003254
CJ1697,Myristicin,C11H12O3,,,,HMDB0035873
CJ1698,n6-carbamoyl-threonyladenosine isomer,C15H20N6O8,,,,
CJ1699,n6-dicarboxyethyl-amp isomer,C14H18N5O11P,,,,
CJ1700,N6-Galacturonyl-L-lysine,C12H22N2O8,,,,HMDB0033106
CJ1701,N-alpha-Acetyl-L-citrulline,C8H15N3O4,,,,HMDB0000856
CJ1702,n-acetyl-fucosamine isomer,C8H15NO5,,,,
CJ1703,N-Acetylglutamine,C7H12N2O4,,,,HMDB0006029
CJ1704,n-acetyl-glucosaminate  isomer,C8H15NO7,,,,
CJ1705,N-Acetyl-D-Glucosamine 6-Phosphate,C8H16NO9P,,,,HMDB0001062
CJ1706,N-Acetylhistidine,C8H11N3O3,,,,HMDB0032055
CJ1707,n-acetylkynurenine isomer,C12H14N2O4,,,,
CJ1708,N-acetyl-L-2-aminoadipate(2-),C8H13NO5,,,,HMDB0062715
CJ1709,N-Acetyl-D-lactosamine,C14H25NO11,,,,HMDB0341344
CJ1710,NADH,C21H29N7O14P2,,,,HMDB0001487
CJ1711,N-Carbamoylsarcosine,C4H8N2O3,,,,HMDB0012265
CJ1712,N-Decanoylglycine,C12H23NO3,,,,HMDB0013267
CJ1713,neoabietic acid isomer,C20H30O2,,,,
CJ1714,Neocnidilide,C12H18O2,,,,HMDB0034450
CJ1715,neosolaspigenin  isomer,C27H44O5,,,,
CJ1716,neotigogenin acetate isomer,C29H46O4,,,,
CJ1717,Netilmicin,C21H41N5O7,,,,HMDB0015090
CJ1718,n-formylanthranilic acid isomer,C8H7NO3,,,,
CJ1719,N'-Formylkynurenine,C11H12N2O4,,,,HMDB0001200
CJ1720,N-Heptanoylglycine,C9H17NO3,,,,HMDB0013010
CJ1721,Nicotinuric acid,C8H8N2O3,,,,HMDB0003269
CJ1722,N-Lauroylglycine,C14H27NO3,,,,HMDB0013272
CJ1723,nn-diacetylspermidine isomer,C11H24N3O2,,,,
CJ1724,N-Nonanoylglycine,C11H21NO3,,,,HMDB0013279
CJ1725,Oleoyl glycine,C20H37NO3,,,,HMDB0013631
CJ1726,2-Nonenoic acid,C9H16O2,,,,HMDB0031271
CJ1727,Nonoxynol-9,C19H32O3,,,,HMDB0015680
CJ1728,N-Palmitoyl tyrosine,C25H41NO4,,,,HMDB0062340
CJ1729,Octanal,C8H16O,,,,HMDB0001140
CJ1730,Octanoyl-CoA,C29H50N7O17P3S,,,,HMDB0001070
CJ1731,Octanoylglucuronide,C14H24O8,,,,HMDB0010347
CJ1732,octulose-8-phosphate isomer,C8H17O11P,,,,
CJ1733,oleandolide  isomer,C20H34O7,,,,
CJ1734,oleanolic acid beta-glucosiduronic acid isomer,C36H56O9,,,,
CJ1735,o-nonanoyl-l-carnitine isomer,C16H31NO4,,,,
CJ1736,o-phospho-4-hydroxy-threonine isomer,C4H10NO7P,,,,
CJ1737,Orlistat,C29H53NO5,,,,HMDB0015215
CJ1738,Orotidylic acid,C10H13N2O11P,,,,HMDB0000218
CJ1739,orotidine-5-phosphate isomer,C10H13N2O11P,,,,
CJ1740,oroxylin a  isomer,C16H12O5,,,,HMDB0128584
CJ1741,Succinylcarnitine,C11H19NO6,,,,HMDB0061717
CJ1742,N-Palmitoyl Glutamic acid,C21H39NO5,,,,HMDB0241925
CJ1743,palmitoyl glutamate  isomer,C21H39NO5,,,,
CJ1744,Palmitoyl Serinol,C19H39NO3,,,,HMDB0013654
CJ1745,Palmityl-CoA,C37H66N7O17P3S,,,,HMDB0001338
CJ1746,palythinol  isomer,C13H22N2O6,,,,
CJ1747,Pantetheine,C11H22N2O4S,,,,HMDB0003426
CJ1748,Prostaglandin F1a,C20H36O5,,,,HMDB0002685
CJ1749,phenyl glucuronide isomer,C12H14O7,,,,
CJ1750,Phenylbutazone,C19H20N2O2,,,,HMDB0014950
CJ1751,phenylglycol 3-o-sulfate isomer,C8H10O6S,,,,
CJ1752,Phenylglyoxylic acid,C8H6O3,,,,HMDB0001587
CJ1753,Phenyllactic acid,C9H10O3,,,,HMDB0000779
CJ1754,5-Phenylvaleric acid,C11H14O2,,,,HMDB0002043
CJ1755,Phosphocreatinine,C4H8N3O4P,,,,HMDB0041624
CJ1756,phosphonoacetaldehyde,C2H5O4P,,,,HMDB0256485
CJ1757,Phytosphingosine,C18H39NO3,,,,HMDB0004610
CJ1758,pinoresinol isomer,C20H22O6,,,,
CJ1759,4-Nitrophenol,C6H5NO3,,,,HMDB0001232
CJ1760,podecdysone b  isomer,C27H42O6,,,,
CJ1761,podophyllotoxone  isomer,C22H20O8,,,,
CJ1762,polyphloroglucinol phosphate isomer,C6H7O6P,,,,
CJ1763,Portuloside A,C16H26O7,,,,HMDB0031382
CJ1764,ppGpp,C10H11N5O17P4,,,,HMDB0304468
CJ1765,pramanicin  isomer,C19H31NO6,,,,
CJ1766,pregnenolone acetate isomer,C23H34O3,,,,
CJ1767,prenylbenzoquinone isomer,C11H12O2,,,,
CJ1768,pro asp isomer,C9H14N2O5,,,,
CJ1769,Glutamylproline,C10H16N2O5,,,,HMDB0028827
CJ1770,pro ser  isomer,C8H14N2O4,,,,
CJ1771,pro thr isomer,C9H16N2O4,,,,
CJ1772,propapyriogenin a2  isomer,C30H44O5,,,,
CJ1773,Propionyl-CoA,C24H40N7O17P3S,,,,HMDB0001275
CJ1774,Prosapogenin,C36H54O11,,,,HMDB0041131
CJ1775,Prostaglandin E2,C20H32O5,,,,HMDB0001220
CJ1776,Prostaglandin E3,C20H30O5,,,,HMDB0002664
CJ1777,Prostaglandin J2,C20H30O4,,,,HMDB0002710
CJ1778,Pteroic acid,C14H12N6O3,,,,HMDB0256914
CJ1779,Pteroside B,C20H28O7,,,,HMDB0030760
CJ1780,pteroside p  isomer,C20H28O8,,,,
CJ1781,Pubescenol,C28H42O6,,,,HMDB0030085
CJ1782,quadrone isomer,C15H20O3,,,,
CJ1783,Reserpine,C33H40N2O9,,,,HMDB0014351
CJ1784,Ribothymidine,C10H14N2O6,,,,HMDB0000884
CJ1785,ricinoleic acid methyl ester isomer,C19H36O3,,,,
CJ1786,ritalinic acid  isomer,C13H17NO2,,,,
CJ1787,S-3-oxodecanoyl cysteamine,C12H23NO2S,,,,HMDB0059773
CJ1788,S-adenosyl-L-methioninamine,C14H23N6O3S,,,,HMDB0304476
CJ1789,S-Adenosylmethionine,C15H23N6O5S,,,,HMDB0001185
CJ1790,Salvigenin,C18H16O6,,,,HMDB0128577
CJ1791,saringosterol isomer,C29H48O2,,,,
CJ1792,Secoisolariciresinol,C20H26O6,,,,HMDB0013692
CJ1793,Sepiapterin,C9H11N5O3,,,,HMDB0000238
CJ1794,Alanylserine,C6H12N2O4,,,,HMDB0028696
CJ1795,Solasodine,C27H43NO2,,,,HMDB0035282
CJ1796,Sorbitol-6-phosphate,C6H15O9P,,,,HMDB0005831
CJ1797,Sphingosine 1-phosphate,C18H38NO5P,,,,HMDB0000277
CJ1798,sphingosylphosphorylcholine,C23H50N2O5P,,,,HMDB0258420
CJ1799,spiroxamine  isomer,C18H35NO2,,,,
CJ1800,(S)-Succinyldihydrolipoamide,C12H21NO4S2,,,,HMDB0001177
CJ1801,stoloniferone c  isomer,C28H44O3,,,,
CJ1802,suberyl glycine isomer,C10H17NO5,,,,
CJ1803,Succinyl-CoA,C25H40N7O19P3S,,,,HMDB0001022
CJ1804,supinine  isomer,C15H25NO4,,,,
CJ1805,p-Synephrine,C9H13NO2,,,,HMDB0004826
CJ1806,Tangeritin,C20H20O7,,,,HMDB0030539
CJ1807,taxuyunnanin  isomer,C28H40O8,,,,
CJ1808,Terbutaline,C12H19NO3,,,,HMDB0015009
CJ1809,tetradecadienoyl-coa isomer,C35H58N7O17P3S,,,,
CJ1810,Tetradecanoyl-CoA,C35H62N7O17P3S,,,,HMDB0001521
CJ1811,Tetrahydrodeoxycorticosterone,C21H34O3,,,,HMDB0000879
CJ1812,thiamine-phosphate isomer,C12H18N4O4PS,,,,
CJ1813,Thiodiacetic acid,C4H6O4S,,,,HMDB0042032
CJ1814,"trans-3,3',4',5,5',7-Hexahydroxyflavanone",C15H12O8,,,,HMDB0030835
CJ1815,Dehydroepiandrosterone,C19H28O2,,,,HMDB0000077
CJ1816,Melilotoside,C15H18O8,,,,HMDB0033581
CJ1817,trans-trans-Muconic acid,C6H6O4,,,,HMDB0002349
CJ1818,Trehalose 6-phosphate,C12H23O14P,,,,HMDB0001124
CJ1819,Trichocarposide,C22H24O9,,,,HMDB0031723
CJ1820,Tricyclazole,C9H7N3S,,,,HMDB0031809
CJ1821,tridecanoyl carnitine isomer,C20H39NO4,,,,
CJ1822,Triethanolamine,C6H15NO3,,,,HMDB0032538
CJ1823,Trihydroxycoprostanoic acid,C28H48O5,,,,HMDB0002163
CJ1824,trimethoprim impurity b isomer,C14H16N4O4,,,,
CJ1825,trimethoxycinnamic acid isomer,C12H14O5,,,,
CJ1826,Trimethylamine N-oxide,C3H9NO,,,,HMDB0000925
CJ1827,trp lys  isomer,C17H24N4O3,,,,
CJ1828,Tyrosol 4-sulfate,C8H10O5S,,,,HMDB0041785
CJ1829,UDP-D-Xylose,C14H22N2O16P2,,,,HMDB0001018
CJ1830,undecylenoyl glycine isomer,C13H23NO3,,,,
CJ1831,Uralenol,C20H18O7,,,,HMDB0039732
CJ1832,Urea,CH4N2O,,,,HMDB0000294
